po_number,po_date,vendor_name,vendor_id,po_amount,currency,line_item_summary
PO-1001,2026-07-15,Bharat Auto Spares,GST-27AABCB1234M1Z5,17582,INR,20x Brake pad set; 10x Air filter; 15x Oil seal
PO-1002,2026-07-10,Kumar Traders,PAN-AAAPK1234C,100000,INR,40x Consulting hours - Q3
PO-1003,2026-07-05,Volkswagen Components India,GST-06AAACV5566H1ZP,128856,INR,50x Wiring harness; 25x Fuse box; 30x Sensor A ...
PO-1004,2026-06-28,Deloitte Consulting Pvt Ltd,GST-27AAACD5567G1Z8,482000,INR,1x AI advisory engagement; 1x Travel reimbursement
PO-1005,2026-06-20,Skyline Logistics,VID-SL-9982,59950,INR,5x Freight - Mumbai to Delhi; 5x Insurance; 5x Handling ...
PO-1006,2026-06-25,GlobalTech Systems,TAX-US-83-2044119,2817.84,USD,1x Enterprise license seat 1; 1x Enterprise license seat 2; 1x Enterprise license seat 3 ...
PO-1007,2026-07-01,Chennai Metal Works,GST-33AAACC1122E1Z7,41500,INR,200x MS Rod 10mm; 150x MS Rod 12mm; 40x Welding rod pack
PO-1008,2026-07-20,Prime Stationers,GST-27AABCP7788K1ZM,18500,INR,1x Assorted office supplies (as per attachment)
PO-1009,2026-06-15,Mahindra Suppliers Co,VID-MSC-4471,91391,INR,4x Hydraulic pump; 40x Gasket kit; 50x O-ring set ...
PO-1010,2026-06-30,EuroParts GmbH,VAT-DE-278-9944-11,2517.5,EUR,25x Precision cog set; 25x Torsion spring
PO-1011,2026-06-22,ABC Enterprises,GST-27AABCA9988D1ZQ,34102,INR,100x Consumable - Item A; 80x Consumable - Item B; 60x Consumable - Item C ...
PO-1012,2026-07-02,Reliance Distributors,GST-27AAACR0055F1Z2,37050,INR,8x Copper coil 50m; 25x PVC pipe 20mm x 10m; 30x Fittings pack
PO-1013,2026-06-10,HMT Machine Tools,GST-29AAACH2211L1ZK,24150,INR,5x Tool bit type A; 5x Tool bit type B; 5x Tool bit type C ...
PO-1014,2026-07-08,Hyderabad Auto Parts,GST-36AABCH3344J1Z9,40592,INR,2x Alternator; 2x Starter motor
PO-1015,2026-07-12,Continental Bearings,GST-27AAACC8877M1Z3,44500,INR,50x Roller bearing 22213
PO-1016,2026-06-18,US Freight Corp,TAX-US-46-1188322,9215.8,USD,2x Ocean freight - Container 40ft; 2x BAF surcharge; 2x Terminal handling ...
PO-1017,2026-06-27,Bosch Sensors India,GST-29AAACB5566E1ZL,69975,INR,30x Pressure sensor P-100; 25x Temperature sensor T-200; 55x Sensor mounting bracket
PO-1018,2026-06-30,Munich Fasteners,VAT-DE-336-2211-98,2784.8,EUR,10x Bolt M6 x 40mm (pack of 100); 10x Bolt M7 x 40mm (pack of 100); 10x Bolt M8 x 40mm (pack of 100) ...
PO-1019,2026-07-14,Local Cartons Co,GST-27AABLC2233N1ZY,15600,INR,20x Corrugated carton 30x20x15 (bundle of 50)
PO-1020,2026-06-25,Tata Precision,GST-27AAACT0011K1Z6,43300,INR,100x CNC insert grade K10; 10x Insert holder; 20x Coolant nozzle
PO-2001,2026-07-05,Bharat Auto Spares,GST-27AABCB1234M1Z5,100000,INR,Consulting engagement - Milestone 1; Consulting engagement - Milestone 2
PO-2002,2026-07-08,Kumar Traders,PAN-AAAPK1234C,100000,INR,Q3 consulting
PO-2003,2026-07-01,Volkswagen Components India,GST-06AAACV5566H1ZP,1600000,INR,New Kushaq
PO-2004,2026-07-10,Local Cartons Co,GST-27AABLC2233N1ZY,50000,INR,Carton stock replenishment
